# Time(ns) B(a.u.) 
-2696.26 -0.000208125
-2694.99 -2.46774e-05
-2693.76 -6.35914e-05
-2692.49 -9.3045e-05
-2691.26 -0.000102949
-2689.99 -1.05419e-05
-2688.76 -6.41272e-05
-2687.49 -2.15916e-05
-2686.26 -0.000139221
-2684.99 -5.997e-05
-2683.76 -1.11147e-05
-2682.49 6.28517e-05
-2681.26 -0.000104889
-2679.99 -1.59189e-05
-2678.76 -0.0001351
-2677.49 -8.42129e-05
-2676.26 -9.73319e-05
-2674.99 2.86679e-05
-2673.76 -6.64369e-05
-2672.49 -5.33917e-05
-2671.26 -3.02577e-05
-2669.99 -2.23677e-05
-2668.76 -1.40157e-05
-2667.49 -4.90619e-06
-2666.26 -8.34737e-05
-2664.99 -2.78512e-05
-2663.76 -7.07381e-05
-2662.49 -1.90743e-05
-2661.26 -6.695e-05
-2659.99 2.70461e-05
-2658.76 -1.98135e-05
-2657.49 2.96959e-06
-2656.26 -9.14517e-05
-2654.99 -0.000105476
-2653.76 -8.56126e-05
-2652.49 3.04644e-05
-2651.26 -9.59603e-05
-2649.99 -3.29511e-05
-2648.76 -0.000192081
-2647.49 -6.18318e-05
-2646.26 -8.90633e-05
-2644.99 5.70212e-05
-2643.76 -3.60695e-05
-2642.49 -3.59772e-05
-2641.26 -8.64953e-05
-2639.99 -0.000130417
-2638.76 -0.000153846
-2637.49 -3.60141e-05
-2636.26 -9.57341e-05
-2634.99 -4.73408e-05
-2633.76 -4.20748e-05
-2632.49 -6.07186e-05
-2631.26 -0.000144312
-2629.99 -6.31762e-05
-2628.76 -0.000143794
-2627.49 -2.71817e-05
-2626.26 -5.71897e-05
-2624.99 -2.08993e-05
-2623.76 -5.45841e-05
-2622.49 8.03769e-05
-2621.26 -6.50524e-06
-2619.99 -1.07551e-05
-2618.76 -8.73637e-05
-2617.49 -3.90629e-05
-2616.26 -8.10813e-05
-2614.99 3.5651e-06
-2613.76 -0.000157764
-2612.49 -6.98836e-05
-2611.26 -0.000111754
-2609.99 -2.29319e-05
-2608.76 -4.82834e-05
-2607.49 -2.21881e-05
-2606.26 -6.32084e-05
-2604.99 1.10348e-05
-2603.76 -3.14454e-05
-2602.49 -3.65499e-06
-2601.26 -5.50967e-05
-2599.99 9.85448e-05
-2598.76 3.58114e-09
-2597.49 5.61944e-05
-2596.26 -8.66938e-05
-2594.99 -6.75878e-05
-2593.76 -7.82862e-05
-2592.49 4.34425e-05
-2591.26 3.51234e-06
-2589.99 2.78289e-05
-2588.76 1.15316e-05
-2587.49 -3.01724e-05
-2586.26 -8.09856e-05
